CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
CHST 75 (58567),Technology and Education,"Children, Family, & Society (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 09:15 AM - 10:20am,GRAHAM 164,"Day, Elizabeth B",4.00,None
CHST 104 (59852),Advocacy for Children,"Children, Family, & Society (Pathway)",T 03:50 PM - 6:50pm,GRAHAM 163,"Woodyard, Savina",5.00,None
CHST 106 (58573),Urban Educ & Multiculturalism,"Children, Family, & Society (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Diversity, Experiential Learning for Social Justice",TR 02:00 PM - 3:40pm,GRAHAM 164,"Davila, Omar",5.00,None
CHST 109 (59853),"Children, Arts and Society","Children, Family, & Society (Pathway), Justice and the Arts (Pathway), Arts",MWF 01:00 PM - 2:05pm,DOWD 108,"Kusanovich, Kristin A",5.00,None
PSYC 172 (59991),Adolescent Development,"Children, Family, & Society (Pathway)",MWF 10:30 AM - 11:35am,ALMSC 220,"Miller, Romina Joy Sevilla",5.00,None
PSYC 178 (59141),Advanced Topics:Develop Psyc,"Children, Family, & Society (Pathway)",TR 12:10 PM - 1:50pm,DOWD 122,"Bhagwat, Jui",5.00,None
PSYC 185 (59992),Developmental Psychology,"Children, Family, & Society (Pathway)",MWF 11:45 AM - 12:50pm,ALMSC 220,"O'Brien, Barbara S",5.00,None
COMM 3 (59864),Digital Storytelling,"Cinema Studies (Pathway), The Digital Age (Pathway)",TR 03:50 PM - 5:30pm,KENNA 107,"Reese, Emily Ray",4.00,None
COMM 3 (59863),Digital Storytelling,"Cinema Studies (Pathway), The Digital Age (Pathway)",TR 12:10 PM - 1:50pm,KENNA 107,"Reese, Emily Ray",4.00,None
COMM 30 Lab (58602),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",T 02:00 PM - 3:30pm,VARI 102,"Sieglitz, Michele",N/A,None
COMM 30 Lab (58598),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 02:15 PM - 3:45pm,VARI 102,"Silva, Fernando A.",N/A,None
COMM 30 Lab (58599),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 04:00 PM - 5:30pm,VARI 102,"Silva, Fernando A.",N/A,None
COMM 30 Lab (58595),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 08:30 AM - 10am,VARI 102,"Sieglitz, Michele",N/A,None
COMM 30 (58593),Digital Filmmaking,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",TR 10:20 AM - 12pm,VARI 109,"Opper, Nicole Poppe",5.00,None
COMM 30 Lab (58596),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 10:30 AM - 12pm,VARI 102,"Sieglitz, Michele",N/A,None
COMM 30 (58590),Digital Filmmaking,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",TR 12:10 PM - 1:50pm,VARI 109,"Rodriguez, Guillermo",5.00,None
COMM 30 Lab (58597),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 12:15 PM - 1:45pm,VARI 102,"Silva, Fernando A.",N/A,None
COMM 131F (59872),Short Fiction Production,"Cinema Studies (Pathway), Arts",TR 02:00 PM - 3:40pm,VARI 109,"Opper, Nicole Poppe",5.00,None
COMM 131F Lab (59873),Short Fiction Production Lab,"Cinema Studies (Pathway), Arts",T 03:50 PM - 5:20pm,VARI 102,"Sieglitz, Michele",N/A,None
COMM 131F Lab (59874),Short Fiction Production Lab,"Cinema Studies (Pathway), Arts",R 03:50 PM - 5:20pm,VARI 102,"Sieglitz, Michele",N/A,None
COMM 131F Lab (59875),Short Fiction Production Lab,"Cinema Studies (Pathway), Arts",F 10:30 AM - 12pm,VARI 102,"Sieglitz, Michele",N/A,None
ENGL 122AW (58676),"Film, Gender, & Sexuality","Cinema Studies (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Advanced Writing, Diversity",TR 10:20 AM - 12pm,CASA 8,"Nanda, Aparajita",5.00,None
ITAL 187I (59939),Immigration in Ital Film & Lit,"Cinema Studies (Pathway), Civic Engagement",TR 02:00 PM - 3:40pm,OCONR 215,"Ferraro, Evelyn",5.00,4
RSOC 87 (60556),Buddhism in Film,"Cinema Studies (Pathway), Religion Theology & Culture 2",TR 07:30 PM - 9:10pm,KENNA 214,"Ninh, Thien-Huong",4.00,4
WGST 134AW (60129),"Film, Gender, & Sexuality","Cinema Studies (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Advanced Writing, Diversity",TR 10:20 AM - 12pm,CASA 8,"Nanda, Aparajita",5.00,None
CHST 4 (58566),Cultural Competence & Humility,"Democracy (Pathway), Civic Engagement, Diversity",MWF 04:45 PM - 5:50pm,DOWD 210,"Bookser, Brita",4.00,None
CLAS 114 (59856),The Democratic City,"Democracy (Pathway), Civic Engagement",MWF 02:15 PM - 3:20pm,WALSH MULP,"Lindberg, Nicholas",5.00,11
COMM 158 (59879),Community Organizing,"Democracy (Pathway), Civic Engagement",MWF 09:15 AM - 10:20am,VARI 133,"Raphael, Charles H",5.00,None
COMM 187 (59885),Media and Social Movements,"Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Civic Engagement",MWF 02:15 PM - 3:20pm,ALMSC 301,"Sarkar, Sreela",5.00,None
ELSJ 50 (60102),Law & Social Justice,"Democracy (Pathway), Law & Social Justice (Pathway), Civic Engagement, Experiential Learning for Social Justice",MW 05:25 PM - 7:10pm,OCONR 210,"Tejada, Elizabeth",4.00,None
ENVS 22 (58708),Intro to Environmental Studies,"Democracy (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",MWF 03:30 PM - 4:35pm,KENNA 306,"Trist, Carolyn",4.00,1
ENVS 22 (58712),Intro to Environmental Studies,"Democracy (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",MWF 04:45 PM - 5:50pm,KENNA 306,"Trist, Carolyn",4.00,4
ENVS 122 (58711),Environmental Politics &Policy,"Democracy (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",TR 10:20 AM - 12pm,KENNA 212,"Press, Daniel",5.00,None
HIST 43 (59918),The Haitian Revolution,"Democracy (Pathway), Gender, Globalization & Empire (Pathway), Human Rights (Pathway), Paradigm Shifts (Pathway), Civic Engagement, Cultures and Ideas 3",TR 10:20 AM - 12pm,OCONR 204,"Andrews, Naomi J",4.00,1
HIST 61 (58753),"Dictatorship,Revolution,Narcos","Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Cultures and Ideas 3",MWF 10:30 AM - 11:35am,CASA 3,"Carrillo, Mateo Jesus",4.00,None
HIST 143 (59925),Haitian Revolution,"Democracy (Pathway), Gender, Globalization & Empire (Pathway), Human Rights (Pathway), Paradigm Shifts (Pathway), Civic Engagement, Cultures and Ideas 3",TR 10:20 AM - 12pm,OCONR 204,"Andrews, Naomi J",5.00,1
HIST 161 (58764),"Dictatorship,Revolution,Narcos","Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Cultures and Ideas 3",MWF 10:30 AM - 11:35am,CASA 3,"Carrillo, Mateo Jesus",5.00,None
PHSC 172 (60133),Management Health Care Orgs,"Democracy (Pathway), Values Science Technology (Pathway), Civic Engagement",MWF 03:30 PM - 4:35pm,HEAFEY 129,"Yuter, Sheila M",5.00,2
POLI 2 (59085),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",MW 03:30 PM - 5:15pm,VARI 128,"Ro, Hyeon-Young",4.00,23
POLI 2 (59090),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",TR 08:30 AM - 10:10am,KENNA 111,"Mosinger, Eric",4.00,31
POLI 2 (59088),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",MWF 09:15 AM - 10:20am,KENNA 111,"Faulve-Montojo, Kenneth Wilfred",4.00,None
POLI 2 (59098),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",TR 10:20 AM - 12pm,KENNA 111,"Senzai, Farid D",4.00,3
POLI 116B (59087),Model UN:Internat Conflict Sim,"Democracy (Pathway), Civic Engagement",M 04:45 PM - 7:10pm,DOWD 108,"Faulve-Montojo, Kenneth Wilfred",2.00,7
POLI 119 (59106),European Union,"Democracy (Pathway), Civic Engagement",MWF 09:15 AM - 10:20am,VARI 128,"Morlang, Diana",5.00,None
POLI 157 (59100),Environmental Politics &Policy,"Democracy (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",TR 10:20 AM - 12pm,KENNA 212,"Press, Daniel",5.00,None
SOCI 30 (60013),"Self, Community, and Society","Democracy (Pathway), Civic Engagement, Experiential Learning for Social Justice",TR 08:30 AM - 10:10am,OCONR 204,"Nichols, Laura Ann",4.00,None
SOCI 122 (60016),Applied  Capstone,"Democracy (Pathway), Vocation (Pathway), Advanced Writing, Civic Engagement",WF 03:30 PM - 5:15pm,MDF 119,"Chiaraluce, Cara Ann",5.00,24
SOCI 161 (59200),The Criminal Justice Systems,"Democracy (Pathway), Law & Social Justice (Pathway), Civic Engagement",TR 05:40 PM - 7:20pm,ALAM 101,"Lopez-Aguado, Patrick Anthony",5.00,21
SOCI 172 (59202),Mgmt Health Care Organization,"Democracy (Pathway), Values Science Technology (Pathway), Civic Engagement",MWF 03:30 PM - 4:35pm,HEAFEY 129,"Yuter, Sheila M",5.00,7
WGST 76 (60025),Violence Against Women,"Democracy (Pathway), Gender, Sexuality & the Body (Pathway), Civic Engagement",TR 05:40 PM - 7:20pm,KENNA 107,"Raza, Mirelle",4.00,11
